2019-02-22 10:18:27,082  INFO main:0 org.hbin.gobang.util.PropertyUtil:<clinit>():15 - loading properties ...
2019-02-22 10:18:27,085  INFO main:3 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.width=650
2019-02-22 10:18:27,085  INFO main:3 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.height=720
2019-02-22 10:18:27,087  INFO main:5 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.cell=15
2019-02-22 10:18:27,088  INFO main:6 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.cell.size=40
2019-02-22 10:18:27,088  INFO main:6 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.offset.outer=30
2019-02-22 10:18:27,088  INFO main:6 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.offset.inner=20
2019-02-22 10:18:27,088  INFO main:6 org.hbin.gobang.util.PropertyUtil:getInt():43 - [PropertyUtil getInt(String, int)] chessboard.star.radius=6
2019-02-22 10:18:30,402  INFO AWT-EventQueue-0:3320 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 608, 545
2019-02-22 10:18:30,402  INFO AWT-EventQueue-0:3320 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 14, 10
2019-02-22 10:18:30,403  INFO AWT-EventQueue-0:3321 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=14,y=10]
2019-02-22 10:18:30,411  INFO AWT-EventQueue-0:3329 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 603, 543
2019-02-22 10:18:30,412  INFO AWT-EventQueue-0:3330 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 14, 10
2019-02-22 10:18:30,413  INFO AWT-EventQueue-0:3331 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=14,y=10]
2019-02-22 10:18:30,421  INFO AWT-EventQueue-0:3339 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 599, 540
2019-02-22 10:18:30,422  INFO AWT-EventQueue-0:3340 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 14, 10
2019-02-22 10:18:30,426  INFO AWT-EventQueue-0:3344 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=14,y=10]
2019-02-22 10:18:30,428  INFO AWT-EventQueue-0:3346 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 593, 535
2019-02-22 10:18:30,428  INFO AWT-EventQueue-0:3346 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 14, 10
2019-02-22 10:18:30,428  INFO AWT-EventQueue-0:3346 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=14,y=10]
2019-02-22 10:18:30,438  INFO AWT-EventQueue-0:3356 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 587, 529
2019-02-22 10:18:30,443  INFO AWT-EventQueue-0:3361 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 13, 10
2019-02-22 10:18:30,443  INFO AWT-EventQueue-0:3361 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=13,y=10]
2019-02-22 10:18:30,444  INFO AWT-EventQueue-0:3362 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 578, 521
2019-02-22 10:18:30,444  INFO AWT-EventQueue-0:3362 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 13, 10
2019-02-22 10:18:30,444  INFO AWT-EventQueue-0:3362 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=13,y=10]
2019-02-22 10:18:30,453  INFO AWT-EventQueue-0:3371 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 568, 512
2019-02-22 10:18:30,455  INFO AWT-EventQueue-0:3373 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 13, 10
2019-02-22 10:18:30,456  INFO AWT-EventQueue-0:3374 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=13,y=10]
2019-02-22 10:18:30,461  INFO AWT-EventQueue-0:3379 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 559, 501
2019-02-22 10:18:30,461  INFO AWT-EventQueue-0:3379 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 13, 9
2019-02-22 10:18:30,461  INFO AWT-EventQueue-0:3379 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=13,y=9]
2019-02-22 10:18:30,470  INFO AWT-EventQueue-0:3388 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 538, 478
2019-02-22 10:18:30,471  INFO AWT-EventQueue-0:3389 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():38 - mouseMoved: 12, 9
2019-02-22 10:18:30,471  INFO AWT-EventQueue-0:3389 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():40 - update current: java.awt.Point[x=12,y=9]
2019-02-22 10:18:30,479  INFO AWT-EventQueue-0:3397 org.hbin.gobang.listener.GameMouseAdapter:mouseMoved():34 - mouseMoved: 515, 453
